dataset,trial,r2_train,r2_zero_test,seed,algorithm
527_analcatdata_election2000,2,0.997850058067234,0.9945632083296716,22118,Flex
527_analcatdata_election2000,3,0.999827717483624,0.9980663629595762,860,Flex
527_analcatdata_election2000,4,0.9973900213437332,0.9864057925121416,15795,Flex
527_analcatdata_election2000,5,0.9990466772472578,0.9992996263625232,21575,Flex
527_analcatdata_election2000,6,0.9997656762303844,0.9945511921407018,5390,Flex
527_analcatdata_election2000,7,0.9991289509891338,0.999578298399188,11964,Flex
527_analcatdata_election2000,8,0.9984604708637436,0.9990464897017396,6265,Flex
527_analcatdata_election2000,9,0.9972831883429464,0.9885665336066448,23654,Flex
527_analcatdata_election2000,10,0.9991493426875012,0.999529378893228,11284,Flex
1029_LEV,1,0.5913721908742383,0.528155429002289,29802,Flex
1029_LEV,2,0.5720228083932688,0.5629457501308072,22118,Flex
1029_LEV,3,0.5719880440008389,0.5966066991952641,860,Flex
1029_LEV,4,0.6009734839487362,0.5121560518714579,15795,Flex
1029_LEV,5,0.5883389119312175,0.5358901282650498,21575,Flex
1029_LEV,6,0.5814833384977751,0.5271920574894275,5390,Flex
1029_LEV,7,0.5636849585507275,0.609813206228109,11964,Flex
1029_LEV,8,0.595812842101986,0.5197147354293346,6265,Flex
1029_LEV,9,0.5861071196639795,0.5445856290972552,23654,Flex
1029_LEV,10,0.5641049662466793,0.5882863179117923,11284,Flex
503_wind,1,0.7513195437817166,0.7335280248367062,29802,Flex
503_wind,2,0.7422700872619042,0.7705549978217903,22118,Flex
503_wind,3,0.7507219414022335,0.7361563184398722,860,Flex
503_wind,4,0.7557193470497979,0.7480850487735464,15795,Flex
503_wind,5,0.7484538693148375,0.7424219332637967,21575,Flex
503_wind,6,0.7478737982529451,0.7444565027745391,5390,Flex
503_wind,7,0.7522003590620375,0.7482551677139,11964,Flex
503_wind,8,0.7521245691671342,0.7410890427834064,6265,Flex
503_wind,9,0.746079049881504,0.7497128009656683,23654,Flex
503_wind,10,0.7521828327524883,0.7290013311298947,11284,Flex
556_analcatdata_apnea2,1,0.8957264681461172,0.8586496158367954,29802,Flex
556_analcatdata_apnea2,2,0.879502706424737,0.8370986538990463,22118,Flex
556_analcatdata_apnea2,3,0.8709814618637892,0.8807416057441175,860,Flex
556_analcatdata_apnea2,4,0.881506401128415,0.8855162752591628,15795,Flex
556_analcatdata_apnea2,5,0.8826860044946049,0.8622144093501775,21575,Flex
556_analcatdata_apnea2,6,0.8860609111186571,0.8502587735808278,5390,Flex
556_analcatdata_apnea2,7,0.8964298597658622,0.8444799038253701,11964,Flex
556_analcatdata_apnea2,8,0.8831823299134295,0.8942107867585322,6265,Flex
556_analcatdata_apnea2,9,0.887894405460402,0.8969744293217697,23654,Flex
556_analcatdata_apnea2,10,0.8791402016496961,0.8966633936595162,11284,Flex
192_vineyard,1,0.8685953035111008,0.0353915527198411,29802,Flex
192_vineyard,2,0.8302982929155435,0.4239369791885233,22118,Flex
192_vineyard,3,0.8771419711500533,0.5044768324529099,860,Flex
192_vineyard,4,0.8900763391354068,0.229133264769299,15795,Flex
192_vineyard,5,0.8877922158502093,-0.4488505285675992,21575,Flex
192_vineyard,6,0.8878454094823643,0.2518541878936224,5390,Flex
192_vineyard,7,0.8276096468774254,0.7317785595132291,11964,Flex
192_vineyard,8,0.818739484557051,0.3793808409213017,6265,Flex
192_vineyard,9,0.8415990460568676,0.7108363961020185,23654,Flex
192_vineyard,10,0.8706588830295092,0.3790264744411492,11284,Flex
663_rabe_266,1,0.9963318792951192,0.9944571659736632,29802,Flex
663_rabe_266,2,0.9960449686025732,0.995126500393692,22118,Flex
663_rabe_266,3,0.9966286261213916,0.9951027571315187,860,Flex
663_rabe_266,4,0.9957290303285984,0.997349922025294,15795,Flex
663_rabe_266,5,0.9958296721669572,0.9932032595096972,21575,Flex
663_rabe_266,6,0.9956347362733132,0.9927044270142064,5390,Flex
663_rabe_266,7,0.9957878590760464,0.9951744042273504,11964,Flex
663_rabe_266,8,0.9966844579109548,0.9943710863116314,6265,Flex
663_rabe_266,9,0.9963026569250134,0.9961567401067924,23654,Flex
663_rabe_266,10,0.996311236079154,0.9959438870267148,11284,Flex
665_sleuth_case2002,1,0.4996528447039642,0.3423936943108147,29802,Flex
665_sleuth_case2002,2,0.527843086776572,0.2538068076264416,22118,Flex
665_sleuth_case2002,3,0.5580892193128449,0.2051563219307738,860,Flex
665_sleuth_case2002,4,0.5341418481857587,0.1936736273628114,15795,Flex
665_sleuth_case2002,5,0.5059185598695966,0.2072501440488738,21575,Flex
665_sleuth_case2002,6,0.526273453635016,-0.5037080211009957,5390,Flex
665_sleuth_case2002,7,0.5253940579528773,0.2413079873432461,11964,Flex
665_sleuth_case2002,8,0.4907299105770271,0.4290500816619917,6265,Flex
665_sleuth_case2002,9,0.512990837853887,0.3893952661232402,23654,Flex
665_sleuth_case2002,10,0.5356816010722659,0.1393562829312928,11284,Flex
1027_ESL,1,0.875889991602268,0.8495996800266621,29802,Flex
1027_ESL,2,0.8723618389715377,0.8671768598577567,22118,Flex
1027_ESL,3,0.8674199168675308,0.8649616824728867,860,Flex
1027_ESL,4,0.8655595912552838,0.8872599987643691,15795,Flex
1027_ESL,5,0.8748919371904685,0.8467600816201662,21575,Flex
1027_ESL,6,0.869953393138329,0.8525684154262702,5390,Flex
1027_ESL,7,0.8716405426615197,0.859719908400982,11964,Flex
1027_ESL,8,0.867160516699025,0.8725634444607733,6265,Flex
1027_ESL,9,0.8689060560359391,0.8633450446160367,23654,Flex
1027_ESL,10,0.8782331344546528,0.8114111147775274,11284,Flex
230_machine_cpu,1,0.9503012078924432,0.9420165644938936,29802,Flex
230_machine_cpu,2,0.9499863687900856,0.9107385636158172,22118,Flex
230_machine_cpu,3,0.9503797756675468,0.8883520884223064,860,Flex
230_machine_cpu,4,0.9589663961326992,0.8734168909205484,15795,Flex
230_machine_cpu,5,0.9494805556505996,0.5891057901029664,21575,Flex
230_machine_cpu,6,0.9501666170342252,0.8658790231060056,5390,Flex
230_machine_cpu,7,0.970935195861464,-1.180822922757089,11964,Flex
230_machine_cpu,8,0.9385741094190287,0.6337425027142517,6265,Flex
230_machine_cpu,9,0.9450609613063278,0.8863760295728784,23654,Flex
230_machine_cpu,10,0.9411579178071424,0.9521240343331766,11284,Flex
1089_USCrime,1,0.9365873354506564,0.8127121063740168,29802,Flex
1089_USCrime,2,0.9536865093803824,0.7308528828726211,22118,Flex
1089_USCrime,3,0.9479258077239237,0.480522011303423,860,Flex
1089_USCrime,4,0.9456360855231066,0.5729761564976312,15795,Flex
1089_USCrime,5,0.9233205930308168,0.8598465732217595,21575,Flex
1089_USCrime,6,0.9568648259578696,0.8699571571160941,5390,Flex
1089_USCrime,7,0.9545836397414168,0.561211042631185,11964,Flex
1089_USCrime,8,0.9585140470875546,0.5231632300537882,6265,Flex
1089_USCrime,9,0.9616277946919448,0.3189693913679077,23654,Flex
1089_USCrime,10,0.9589264759316228,0.7128970336235666,11284,Flex
561_cpu,1,0.9928441264626569,0.9940621223234274,29802,Flex
561_cpu,2,0.991054285564758,0.9862529797999788,22118,Flex
561_cpu,3,0.9915634578920376,0.982055300237134,860,Flex
561_cpu,4,0.990151108114144,0.9907834578701216,15795,Flex
561_cpu,5,0.992576417270074,0.6235283464324982,21575,Flex
561_cpu,6,0.9876514143925086,0.993337458004352,5390,Flex
561_cpu,7,0.9854958600455088,0.8774408456489647,11964,Flex
561_cpu,8,0.990386755757271,0.9583127136520508,6265,Flex
561_cpu,9,0.995003649021988,0.9784412654152276,23654,Flex
561_cpu,10,0.9893428725785536,0.9363461420094936,11284,Flex
519_vinnie,1,0.7780643320369531,0.6748797138271674,29802,Flex
519_vinnie,2,0.7670949723082623,0.7011612083623804,22118,Flex
519_vinnie,3,0.7404644581023311,0.7810698906270015,860,Flex
519_vinnie,4,0.7557205123459001,0.7422420153780349,15795,Flex
519_vinnie,5,0.7738652667885438,0.6930067758704637,21575,Flex
519_vinnie,6,0.767887083813139,0.7120715183311619,5390,Flex
519_vinnie,7,0.7572075674163686,0.7147332995198294,11964,Flex
519_vinnie,8,0.7542153901449076,0.7587488135643772,6265,Flex
519_vinnie,9,0.7475035459421806,0.7712810024629835,23654,Flex
519_vinnie,10,0.7584422812538947,0.7355466568038351,11284,Flex
197_cpu_act,1,0.9501349632229787,0.9548839037182362,29802,Flex
197_cpu_act,2,0.9541405925500182,0.9530912882033554,22118,Flex
197_cpu_act,3,0.9436653440388892,0.9425284621930106,860,Flex
197_cpu_act,4,0.9570793554999732,0.956981960061938,15795,Flex
197_cpu_act,5,0.9491407399487236,0.9506756469911516,21575,Flex
197_cpu_act,6,0.942816889061114,0.9447827581215708,5390,Flex
197_cpu_act,7,0.9591337060313476,0.9470346601644214,11964,Flex
197_cpu_act,8,0.9385509170125148,0.9427673494330056,6265,Flex
197_cpu_act,9,0.9454036844475384,0.9432610104038888,23654,Flex
197_cpu_act,10,0.9380727299038236,0.9254685859167296,11284,Flex
