dataset,trial,r2_train,r2_zero_test,seed,algorithm
542_pollution,2,0.8623232331287531,0.1072007081584537,22118,AlpineGP
542_pollution,3,0.8997797484437406,-0.2806564062645447,860,AlpineGP
542_pollution,4,0.8605948830168071,0.2002616754119538,15795,AlpineGP
542_pollution,5,0.8368337184902799,0.2002665165688073,21575,AlpineGP
542_pollution,6,0.8658992114877305,0.3878725341844437,5390,AlpineGP
542_pollution,7,0.8677530840833872,0.3542406746277227,11964,AlpineGP
542_pollution,8,0.8976008132280036,0.0344450853268762,6265,AlpineGP
542_pollution,9,0.8807488107324295,-1.9025008665653864,23654,AlpineGP
542_pollution,10,0.898439709153691,0.1459083753766256,11284,AlpineGP
210_cloud,1,0.943884162478212,0.3618040249363601,29802,AlpineGP
210_cloud,2,0.9306622704852016,0.9001714334366061,22118,AlpineGP
210_cloud,3,0.931027126758998,0.7077053783942548,860,AlpineGP
210_cloud,4,0.943386084513251,0.7855648671593132,15795,AlpineGP
210_cloud,5,0.9490090555879274,0.8728819866229243,21575,AlpineGP
210_cloud,6,0.9493293687626544,0.7568143472162481,5390,AlpineGP
210_cloud,7,0.9472607076429748,0.8987628848025128,11964,AlpineGP
210_cloud,8,0.9364317165249528,0.5617672429308037,6265,AlpineGP
210_cloud,9,0.9300309955926536,0.9485241764407548,23654,AlpineGP
210_cloud,10,0.9544575719773708,0.6894144677987852,11284,AlpineGP
523_analcatdata_neavote,1,0.9582300334612134,0.9386714303616808,29802,AlpineGP
523_analcatdata_neavote,2,0.9638237885042876,0.9152095576754284,22118,AlpineGP
523_analcatdata_neavote,3,0.9637411693056734,0.9113743392114432,860,AlpineGP
523_analcatdata_neavote,4,0.9536128203238624,0.9484574870335636,15795,AlpineGP
523_analcatdata_neavote,5,0.9528400818699696,0.9555480753002588,21575,AlpineGP
523_analcatdata_neavote,6,0.9469477274013106,0.9694100916316684,5390,AlpineGP
523_analcatdata_neavote,7,0.9656529293299564,0.903244449581866,11964,AlpineGP
523_analcatdata_neavote,8,0.9475894369194252,0.8977943324063037,6265,AlpineGP
523_analcatdata_neavote,9,0.9534332217559968,0.9511202894336984,23654,AlpineGP
523_analcatdata_neavote,10,0.9466394799975568,0.9749431974533076,11284,AlpineGP
687_sleuth_ex1605,1,0.8468757378668406,-0.3951063068184866,29802,AlpineGP
687_sleuth_ex1605,2,0.8720001040835381,0.244703493869335,22118,AlpineGP
687_sleuth_ex1605,3,0.8780916707366301,-0.5039063080477588,860,AlpineGP
687_sleuth_ex1605,4,0.8876605971220807,0.1292457201629334,15795,AlpineGP
687_sleuth_ex1605,5,0.8458736185783762,0.2792922257122184,21575,AlpineGP
687_sleuth_ex1605,6,0.8641305893875313,0.447290231771025,5390,AlpineGP
